ウドランシャツ	うどらんしゃつ
ラブチョコ	らぶちょこ
てがみ(タータス1)	てがみたーたす１
二十六夜	にじゅうろくや
エリアチェンジ	えりあちぇんじ
尾碕	オサキ
Ｄ坂の殺人事件	ディーざかのさつじんじけん
デフレ	でふれ
からあげクン ドラゴンクエスト ホイミ味	からあげくんどらごんくえすとほいみあじ
生綿	イケワタ
お腹が減って倒れた	おなかがへってたおれた
今柳田	イマヤナギ
オレンジ(ルイージマンション2)	おれんじ
円馬	エンマ
神地	カミジ
大壷	オオツボ
大売	オオバイ
大壺	オオツボ
幸福への意志	こうふくへのいし
威嚇	いかく
獄中への手紙	ごくちゅうへのてがみ
ドンキーコング(Atari 5200)	どんきーこんぐ
Goblin Golem	ごぶりんごーれむ
転がりでかサンボ	ころがりでかさんぼ
木ノ切	キノキリ
牛作	ウシサク
メタスラの剣	めたすらのけん
熊ノ細	クマノホソ
相賀	アイカ
上ガ島	カミガシマ
上大長	ウエダイチョウ
短剣の使い手	たんけんのつかいて
ボウッ	ぼうっ
高山の雪	こうざんのゆき
スカウトモンスター	すかうともんすたー
浴森	エキモリ
風の宝珠?	かぜのほうじゅ
操谷	クリタニ
朝津	アサヅ
メラゴン	めらごん
どんそく	どんそく
アサシンアムレット	あさしんあむれっと
鍛冶山	カジヤマ
蚊帳の釣手	かやのつりて
ねらえ!会心の一撃!	ねらえかいしんのいちげき
寒藤	カンドウ
セルビナ	せるびな
秘宝の空挺兵長	ひほうのくうていへいちょう
騎士屋	きしや
角谷	カクタニ
宇須井	ウスイ
グレーキノコ	ぐれーきのこ
判決	はんけつ
マルゴシハンマー	まるごしはんまー
ミッキー	みっきー
めくって50!!	めくって５０
ラワン	ラワン
Cherufe	ちぇるふぇ
アウルベアー	あうるべあー
三木 清	みき きよし
サップリングの思い出	さっぷりんぐのおもいで
地下壕	ちかごう
汚水	おすい
ゴシックガントレ	ごしっくがんとれ
しにがみきぞく(死神きぞく)【モンスター】	しにがみきぞく
しなびたキノコ	しなびたきのこ
鍛冶屋	カジヤ
ガリダヴの野草	がりだう゛のやそう
「ありがとう」	ありがとう
ヴァラーピアス	う゛ぁらーぴあす
エビルハムスター	えびるはむすたー
後遺症	こういしょう
シーザーレインボー	しーざーれいんぼー
標準仕様	ひょうじゅんしよう
しゅうだんチョロボン	しゅうだんちょろぼん
伊勢地	イセジ
十一至徳	じゅういちしとく
Dの世界タル	でぃーのせかいたる
欝金草売	うこんそううり
カーメンヘイホー	かーめんへいほー
スーパーナッツ	すーぱーなっつ
N3 広大な平原	えぬ３こうだいなへいげん
負征矢	おいそや
北極星	ほっきょくせい
越川	エガワ
ORIGINAL 1985	おりじなる１９８５
ぶとうぎセット	ぶとうぎせっと
伊豆川	イズカワ
東日下	アサカ
久野木	クノキ
朝蜘	アサグモ
踊りの石像	おどりのせきぞう
「人間キリスト記」その他	「にんげんキリストき」そのた
オルゴ・デミーラ【スキル】	おるごでみーら
沓張	クツバリ
尾暮	オグレ
誓いの雄叫び/ネタバレ	ちかいのおたけび
イエスキリストの友誼	イエスキリストのゆうぎ
サンダーピアス	さんだーぴあす
堕天使のヘルム	だてんしのへるむ
アライアンスコマンド	あらいあんすこまんど
軍用火薬照明弾	ぐんようかやくしょうめいだん
地の刻印	ちのこくいん
有崎	アリサキ
こんらん(混乱)【状態異常】	こんらん
原種	げんしゅ
石川五右衛門の生立	いしかわごえもんのおいたち
都の友へ、Ｂ生より	みやこのともへ、ビーせいより
雲の間	くものま
郷家	ゴウカ
絶望の野に咲く花	ぜつぼうののにさくはな
タマスリング	たますりんぐ
惠多谷	エタヤ
金庫番	きんこばん
